DESTINATION_AIRPORT,MONTH,DAY,ARRIVAL_DELAY
ATL,4,19,1052
ATL,4,20,1077
ATL,4,21,1071
ATL,4,22,1069
ATL,4,23,1084
ATL,4,24,1086
ATL,4,25,888
ATL,4,26,1050
ATL,4,27,1088
ATL,4,28,1073
ATL,4,29,1068
ATL,4,30,1090
ATL,5,1,1102
ATL,5,2,898
ATL,5,3,1056
ATL,5,4,1105
ATL,5,5,1081
ATL,5,6,1077
ATL,5,7,1103
ATL,5,8,1106
ATL,5,9,851
ATL,5,10,1004
ATL,5,11,1105
ATL,5,12,1084
ATL,5,13,1084
ATL,5,14,1103
ATL,5,15,1108
ATL,5,16,900
ATL,5,17,1057
ATL,5,18,1082
ATL,5,19,1082
ATL,5,20,1083
ATL,5,21,1105
ATL,5,22,1111
ATL,5,23,863
ATL,5,24,842
ATL,5,25,995
ATL,5,26,936
ATL,5,27,1062
ATL,5,28,1097
ATL,5,29,1109
ATL,5,30,901
ATL,5,31,1038
ATL,6,1,1093
ATL,6,2,1079
ATL,6,3,1074
ATL,6,4,1120
ATL,6,5,1128
ATL,6,6,920
ATL,6,7,1091
ATL,6,8,1125
ATL,6,9,1030
ATL,6,10,1079
ATL,6,11,1101
ATL,6,12,1126
ATL,6,13,928
ATL,6,14,1095
ATL,6,15,1105
ATL,6,16,1100
ATL,6,17,1107
ATL,6,18,1121
ATL,6,19,1136
ATL,6,20,928
ATL,6,21,1088
ATL,6,22,1127
ATL,6,23,1106
ATL,6,24,966
ATL,6,25,1107
ATL,6,26,1137
ATL,6,27,926
ATL,6,28,1088
ATL,6,29,1128
ATL,6,30,1085
ATL,7,1,1087
ATL,7,2,1134
ATL,7,3,847
ATL,7,4,768
ATL,7,5,1099
ATL,7,6,1139
ATL,7,7,1114
ATL,7,8,1118
ATL,7,9,1134
ATL,7,10,1138
ATL,7,11,945
ATL,7,12,1097
ATL,7,13,1134
ATL,7,14,1083
ATL,7,15,1113
ATL,7,16,1126
ATL,7,17,1139
ATL,7,18,918
ATL,7,19,1093
ATL,7,20,1136
ATL,7,21,1113
ATL,7,22,1100
ATL,7,23,1107
ATL,7,24,1132
ATL,7,25,948
ATL,7,26,1095
ATL,7,27,1139
ATL,7,28,1115
ATL,7,29,1115
ATL,7,30,1129
ATL,7,31,1080
ATL,8,1,942
ATL,8,2,1091
ATL,8,3,1137
ATL,8,4,1122
ATL,8,5,1125
ATL,8,6,1122
ATL,8,7,1142
ATL,8,8,942
ATL,8,9,1101
ATL,8,10,1090
ATL,8,11,1118
ATL,8,12,1122
ATL,8,13,1139
ATL,8,14,1134
ATL,8,15,924
ATL,8,16,1094
ATL,8,17,1108
ATL,8,18,1060
ATL,8,19,1110
ATL,8,20,1119
ATL,8,21,1129
ATL,8,22,884
ATL,8,23,1055
ATL,8,24,1134
ATL,8,25,1113
ATL,8,26,1117
ATL,8,27,1130
ATL,8,28,1128
ATL,8,29,836
ATL,8,30,1055
ATL,8,31,1135
ATL,9,1,1104
ATL,9,2,1111
ATL,9,3,1084
ATL,9,4,1114
ATL,9,5,779
ATL,9,6,843
ATL,9,7,1034
ATL,9,8,1044
ATL,9,9,965
ATL,9,10,992
ATL,9,11,1041
ATL,9,12,783
ATL,9,13,1068
ATL,9,14,1111
ATL,9,15,1101
ATL,9,16,1106
ATL,9,17,1113
ATL,9,18,1112
ATL,9,19,849
ATL,9,20,1075
ATL,9,21,1116
ATL,9,22,1101
ATL,9,23,1109
ATL,9,24,1115
ATL,9,25,1113
ATL,9,26,852
ATL,9,27,1071
ATL,9,28,1115
ATL,9,29,1099
ATL,9,30,1102
ATL,11,1,1051
ATL,11,2,1107
ATL,11,3,1052
ATL,11,4,1095
ATL,11,5,1101
ATL,11,6,1098
ATL,11,7,824
ATL,11,8,1052
ATL,11,9,1104
ATL,11,10,1097
ATL,11,11,1091
ATL,11,12,1102
ATL,11,13,1104
ATL,11,14,820
ATL,11,15,1052
ATL,11,16,1103
ATL,11,17,1096
ATL,11,18,1064
ATL,11,19,1101
ATL,11,20,1099
ATL,11,21,821
ATL,11,22,914
ATL,11,23,954
ATL,11,24,1039
ATL,11,25,1097
ATL,11,26,658
ATL,11,27,808
ATL,11,28,1046
ATL,11,29,1163
ATL,11,30,1106
ATL,12,1,1071
ATL,12,2,1060
ATL,12,3,1076
ATL,12,4,1074
ATL,12,5,772
ATL,12,6,997
ATL,12,7,1070
ATL,12,8,1060
ATL,12,9,1060
ATL,12,10,1072
ATL,12,11,1076
ATL,12,12,731
ATL,12,13,995
ATL,12,14,1067
ATL,12,15,1064
ATL,12,16,1061
ATL,12,17,1073
ATL,12,18,1067
ATL,12,19,952
ATL,12,20,1041
ATL,12,21,1029
ATL,12,22,1027
ATL,12,23,1019
ATL,12,24,621
ATL,12,25,662
ATL,12,26,959
ATL,12,27,1027
ATL,12,28,1005
ATL,12,29,1012
ATL,12,30,1002
ATL,12,31,803
BNA,1,1,112
BNA,1,2,147
BNA,1,3,136
BNA,1,4,138
BNA,1,5,142
BNA,1,6,134
BNA,1,7,131
BNA,1,8,128
BNA,1,9,136
BNA,1,10,95
BNA,1,11,126
BNA,1,12,135
BNA,1,13,137
BNA,1,14,140
BNA,1,15,140
BNA,1,16,140
BNA,1,17,94
BNA,1,18,121
BNA,1,19,139
BNA,1,20,136
BNA,1,21,138
BNA,1,22,140
BNA,1,23,140
BNA,1,24,94
BNA,1,25,127
BNA,1,26,127
BNA,1,27,117
BNA,1,28,133
BNA,1,29,141
BNA,1,30,141
BNA,1,31,97
BNA,2,1,99
BNA,2,2,116
BNA,2,3,133
BNA,2,4,136
BNA,2,5,139
BNA,2,6,140
BNA,2,7,98
BNA,2,8,127
BNA,2,9,132
BNA,2,10,135
BNA,2,11,139
BNA,2,12,140
BNA,2,13,142
BNA,2,14,98
BNA,2,15,105
BNA,2,16,5
BNA,2,17,42
BNA,2,18,130
BNA,2,19,139
BNA,2,20,93
BNA,2,21,89
BNA,2,22,117
BNA,2,23,132
BNA,2,24,136
BNA,2,25,130
BNA,2,26,135
BNA,2,27,136
BNA,2,28,93
BNA,3,1,109
BNA,3,2,135
BNA,3,3,130
BNA,3,4,91
BNA,3,5,92
BNA,3,6,138
BNA,3,7,129
BNA,3,8,142
BNA,3,9,149
BNA,3,10,150
BNA,3,11,148
BNA,3,12,150
BNA,3,13,151
BNA,3,14,132
BNA,3,15,141
BNA,3,16,151
BNA,3,17,147
BNA,3,18,146
BNA,3,19,149
BNA,3,20,141
BNA,3,21,131
BNA,3,22,141
BNA,3,23,140
BNA,3,24,144
BNA,3,25,149
BNA,3,26,148
BNA,3,27,150
BNA,3,28,131
BNA,3,29,142
BNA,3,30,151
BNA,3,31,147
BNA,4,1,150
BNA,4,2,151
BNA,4,3,142
BNA,4,4,121
BNA,4,5,136
BNA,4,6,152
BNA,4,7,143
BNA,4,8,146
BNA,4,9,145
BNA,4,10,147
BNA,4,11,111
BNA,4,12,139
BNA,4,13,147
BNA,4,14,145
BNA,4,15,148
BNA,4,16,147
BNA,4,17,146
BNA,4,18,111
BNA,4,19,138
BNA,4,20,141
BNA,4,21,144
BNA,4,22,148
BNA,4,23,148
BNA,4,24,148
BNA,4,25,111
BNA,4,26,136
BNA,4,27,147
BNA,4,28,144
BNA,4,29,148
BNA,4,30,151
BNA,5,1,148
BNA,5,2,113
BNA,5,3,140
BNA,5,4,149
BNA,5,5,144
BNA,5,6,144
BNA,5,7,151
BNA,5,8,149
BNA,5,9,113
BNA,5,10,136
BNA,5,11,151
BNA,5,12,150
BNA,5,13,152
BNA,5,14,151
BNA,5,15,151
BNA,5,16,111
BNA,5,17,140
BNA,5,18,145
BNA,5,19,146
BNA,5,20,147
BNA,5,21,151
BNA,5,22,151
BNA,5,23,110
BNA,5,24,114
BNA,5,25,142
BNA,5,26,146
BNA,5,27,142
BNA,5,28,151
BNA,5,29,148
BNA,5,30,112
BNA,5,31,136
BNA,6,1,143
BNA,6,2,148
BNA,6,3,150
BNA,6,4,152
BNA,6,5,153
BNA,6,6,117
BNA,6,7,153
BNA,6,8,140
BNA,6,9,152
BNA,6,10,163
BNA,6,11,158
BNA,6,12,155
BNA,6,13,130
BNA,6,14,151
BNA,6,15,151
BNA,6,16,156
BNA,6,17,153
BNA,6,18,158
BNA,6,19,159
BNA,6,20,126
BNA,6,21,150
BNA,6,22,154
BNA,6,23,151
BNA,6,24,159
BNA,6,25,157
BNA,6,26,158
BNA,6,27,129
BNA,6,28,151
BNA,6,29,158
BNA,6,30,154
BNA,7,1,155
BNA,7,2,160
BNA,7,3,137
BNA,7,4,102
BNA,7,5,153
BNA,7,6,158
BNA,7,7,156
BNA,7,8,162
BNA,7,9,159
BNA,7,10,160
BNA,7,11,129
BNA,7,12,153
BNA,7,13,154
BNA,7,14,152
BNA,7,15,159
BNA,7,16,158
BNA,7,17,159
BNA,7,18,127
BNA,7,19,152
BNA,7,20,157
BNA,7,21,159
BNA,7,22,162
BNA,7,23,160
BNA,7,24,160
BNA,7,25,127
BNA,7,26,151
BNA,7,27,158
BNA,7,28,129
BNA,7,29,162
BNA,7,30,158
BNA,7,31,158
BNA,8,1,127
BNA,8,2,150
BNA,8,3,157
BNA,8,4,159
BNA,8,5,160
BNA,8,6,159
BNA,8,7,159
BNA,8,8,127
BNA,8,9,145
BNA,8,10,148
BNA,8,11,147
BNA,8,12,153
BNA,8,13,151
BNA,8,14,147
BNA,8,15,105
BNA,8,16,142
BNA,8,17,150
BNA,8,18,152
BNA,8,19,150
BNA,8,20,149
BNA,8,21,156
BNA,8,22,108
BNA,8,23,143
BNA,8,24,155
BNA,8,25,157
BNA,8,26,155
BNA,8,27,158
BNA,8,28,156
BNA,8,29,105
BNA,8,30,144
BNA,8,31,155
BNA,9,1,152
BNA,9,2,154
BNA,9,3,155
BNA,9,4,153
BNA,9,5,89
BNA,9,6,107
BNA,9,7,139
BNA,9,8,150
BNA,9,9,146
BNA,9,10,144
BNA,9,11,144
BNA,9,12,101
BNA,9,13,142
BNA,9,14,153
BNA,9,15,149
BNA,9,16,155
BNA,9,17,155
BNA,9,18,154
BNA,9,19,102
BNA,9,20,142
BNA,9,21,155
BNA,9,22,151
BNA,9,23,156
BNA,9,24,155
BNA,9,25,155
BNA,9,26,105
BNA,9,27,140
BNA,9,28,153
BNA,9,29,148
BNA,9,30,153
BNA,11,1,144
BNA,11,2,153
BNA,11,3,150
BNA,11,4,151
BNA,11,5,151
BNA,11,6,152
BNA,11,7,109
BNA,11,8,143
BNA,11,9,151
BNA,11,10,149
BNA,11,11,149
BNA,11,12,151
BNA,11,13,151
BNA,11,14,107
BNA,11,15,143
BNA,11,16,151
BNA,11,17,148
BNA,11,18,144
BNA,11,19,150
BNA,11,20,148
BNA,11,21,100
BNA,11,22,134
BNA,11,23,140
BNA,11,24,149
BNA,11,25,154
BNA,11,26,81
BNA,11,27,113
BNA,11,28,142
BNA,11,29,163
BNA,11,30,156
BNA,12,1,146
BNA,12,2,148
BNA,12,3,149
BNA,12,4,149
BNA,12,5,105
BNA,12,6,141
BNA,12,7,144
BNA,12,8,150
BNA,12,9,149
BNA,12,10,149
BNA,12,11,149
BNA,12,12,103
BNA,12,13,140
BNA,12,14,145
BNA,12,15,145
BNA,12,16,147
BNA,12,17,141
BNA,12,18,147
BNA,12,19,112
BNA,12,20,138
BNA,12,21,139
BNA,12,22,139
BNA,12,23,138
BNA,12,24,107
BNA,12,25,97
BNA,12,26,129
BNA,12,27,131
BNA,12,28,126
BNA,12,29,126
BNA,12,30,137
BNA,12,31,103
BOS,1,1,235
BOS,1,2,280
BOS,1,3,224
BOS,1,4,284
BOS,1,5,306
BOS,1,6,290
BOS,1,7,301
BOS,1,8,311
BOS,1,9,310
BOS,1,10,198
BOS,1,11,266
BOS,1,12,310
BOS,1,13,299
BOS,1,14,301
BOS,1,15,314
BOS,1,16,315
BOS,1,17,195
BOS,1,18,230
BOS,1,19,300
BOS,1,20,300
BOS,1,21,308
BOS,1,22,317
BOS,1,23,318
BOS,1,24,181
BOS,1,25,269
BOS,1,26,162
BOS,1,27,1
BOS,1,28,216
BOS,1,29,322
BOS,1,30,318
BOS,1,31,192
BOS,2,1,180
BOS,2,2,56
BOS,2,3,268
BOS,2,4,308
BOS,2,5,306
BOS,2,6,317
BOS,2,7,200
BOS,2,8,161
BOS,2,9,83
BOS,2,10,288
BOS,2,11,311
BOS,2,12,329
BOS,2,13,331
BOS,2,14,132
BOS,2,15,92
BOS,2,16,297
BOS,2,17,294
BOS,2,18,320
BOS,2,19,330
BOS,2,20,326
BOS,2,21,197
BOS,2,22,286
BOS,2,23,324
BOS,2,24,321
BOS,2,25,316
BOS,2,26,324
BOS,2,27,332
BOS,2,28,211
BOS,3,1,260
BOS,3,2,324
BOS,3,3,305
BOS,3,4,325
BOS,3,5,258
BOS,3,6,334
BOS,3,7,222
BOS,3,8,305
BOS,3,9,341
BOS,3,10,332
BOS,3,11,340
BOS,3,12,342
BOS,3,13,347
BOS,3,14,230
BOS,3,15,293
BOS,3,16,344
BOS,3,17,335
BOS,3,18,342
BOS,3,19,347
BOS,3,20,319
BOS,3,21,227
BOS,3,22,310
BOS,3,23,339
BOS,3,24,336
BOS,3,25,344
BOS,3,26,343
BOS,3,27,344
BOS,3,28,231
BOS,3,29,308
BOS,3,30,346
BOS,3,31,341
BOS,4,1,343
BOS,4,2,348
BOS,4,3,343
BOS,4,4,233
BOS,4,5,301
BOS,4,6,349
BOS,4,7,344
BOS,4,8,347
BOS,4,9,345
BOS,4,10,348
BOS,4,11,238
BOS,4,12,317
BOS,4,13,352
BOS,4,14,344
BOS,4,15,350
BOS,4,16,356
BOS,4,17,360
BOS,4,18,244
BOS,4,19,324
BOS,4,20,337
BOS,4,21,350
BOS,4,22,354
BOS,4,23,360
BOS,4,24,363
BOS,4,25,244
BOS,4,26,320
BOS,4,27,359
BOS,4,28,349
BOS,4,29,349
BOS,4,30,356
BOS,5,1,354
BOS,5,2,246
BOS,5,3,309
BOS,5,4,352
BOS,5,5,345
BOS,5,6,352
BOS,5,7,359
BOS,5,8,359
BOS,5,9,244
BOS,5,10,307
BOS,5,11,348
BOS,5,12,350
BOS,5,13,358
BOS,5,14,359
BOS,5,15,362
BOS,5,16,253
BOS,5,17,316
BOS,5,18,353
BOS,5,19,350
BOS,5,20,358
BOS,5,21,360
BOS,5,22,363
BOS,5,23,244
BOS,5,24,265
BOS,5,25,324
BOS,5,26,356
BOS,5,27,348
BOS,5,28,357
BOS,5,29,355
BOS,5,30,250
BOS,5,31,291
BOS,6,1,343
BOS,6,2,346
BOS,6,3,352
BOS,6,4,364
BOS,6,5,363
BOS,6,6,266
BOS,6,7,330
BOS,6,8,368
BOS,6,9,363
BOS,6,10,363
BOS,6,11,369
BOS,6,12,370
BOS,6,13,272
BOS,6,14,332
BOS,6,15,352
BOS,6,16,359
BOS,6,17,360
BOS,6,18,373
BOS,6,19,376
BOS,6,20,281
BOS,6,21,335
BOS,6,22,370
BOS,6,23,355
BOS,6,24,369
BOS,6,25,376
BOS,6,26,372
BOS,6,27,281
BOS,6,28,326
BOS,6,29,363
BOS,6,30,350
BOS,7,1,349
BOS,7,2,358
BOS,7,3,286
BOS,7,4,245
BOS,7,5,338
BOS,7,6,373
BOS,7,7,362
BOS,7,8,366
BOS,7,9,368
BOS,7,10,367
BOS,7,11,278
BOS,7,12,339
BOS,7,13,372
BOS,7,14,359
BOS,7,15,360
BOS,7,16,371
BOS,7,17,368
BOS,7,18,273
BOS,7,19,337
BOS,7,20,372
BOS,7,21,361
BOS,7,22,362
BOS,7,23,372
BOS,7,24,362
BOS,7,25,279
BOS,7,26,337
BOS,7,27,374
BOS,7,28,364
BOS,7,29,361
BOS,7,30,367
BOS,7,31,368
BOS,8,1,277
BOS,8,2,338
BOS,8,3,370
BOS,8,4,360
BOS,8,5,362
BOS,8,6,372
BOS,8,7,369
BOS,8,8,279
BOS,8,9,334
BOS,8,10,368
BOS,8,11,350
BOS,8,12,358
BOS,8,13,371
BOS,8,14,365
BOS,8,15,260
BOS,8,16,334
BOS,8,17,366
BOS,8,18,337
BOS,8,19,355
BOS,8,20,349
BOS,8,21,366
BOS,8,22,269
BOS,8,23,331
BOS,8,24,366
BOS,8,25,352
BOS,8,26,358
BOS,8,27,365
BOS,8,28,367
BOS,8,29,262
BOS,8,30,330
BOS,8,31,368
BOS,9,1,348
BOS,9,2,349
BOS,9,3,363
BOS,9,4,361
BOS,9,5,245
BOS,9,6,278
BOS,9,7,323
BOS,9,8,342
BOS,9,9,330
BOS,9,10,321
BOS,9,11,336
BOS,9,12,228
BOS,9,13,308
BOS,9,14,340
BOS,9,15,331
BOS,9,16,339
BOS,9,17,349
BOS,9,18,350
BOS,9,19,231
BOS,9,20,312
BOS,9,21,343
BOS,9,22,326
BOS,9,23,337
BOS,9,24,350
BOS,9,25,353
BOS,9,26,233
BOS,9,27,319
BOS,9,28,345
BOS,9,29,338
BOS,9,30,345
BOS,11,1,312
BOS,11,2,348
BOS,11,3,331
BOS,11,4,334
BOS,11,5,350
BOS,11,6,349
BOS,11,7,222
BOS,11,8,313
BOS,11,9,348
BOS,11,10,332
BOS,11,11,333
BOS,11,12,346
BOS,11,13,349
BOS,11,14,220
BOS,11,15,308
BOS,11,16,345
BOS,11,17,331
BOS,11,18,332
BOS,11,19,338
BOS,11,20,345
BOS,11,21,216
BOS,11,22,293
BOS,11,23,307
BOS,11,24,334
BOS,11,25,340
BOS,11,26,192
BOS,11,27,257
BOS,11,28,281
BOS,11,29,339
BOS,11,30,362
BOS,12,1,328
BOS,12,2,326
BOS,12,3,336
BOS,12,4,337
BOS,12,5,207
BOS,12,6,291
BOS,12,7,336
BOS,12,8,319
BOS,12,9,323
BOS,12,10,334
BOS,12,11,336
BOS,12,12,207
BOS,12,13,290
BOS,12,14,327
BOS,12,15,322
BOS,12,16,329
BOS,12,17,321
BOS,12,18,307
BOS,12,19,243
BOS,12,20,281
BOS,12,21,299
BOS,12,22,299
BOS,12,23,307
BOS,12,24,228
BOS,12,25,235
BOS,12,26,243
BOS,12,27,275
BOS,12,28,261
BOS,12,29,263
BOS,12,30,279
